"","date","sensor","value","year","season","from_sn_start"
"199",2022-07-15 19:00:00,"aqs",NA,2022,"Summer",3870000
"200",2022-07-15 19:00:00,"beaco2n",NA,2022,"Summer",3870000
"201",2022-07-15 20:00:00,"aqs",NA,2022,"Summer",3873600
"202",2022-07-15 20:00:00,"beaco2n",NA,2022,"Summer",3873600
"203",2022-07-15 21:00:00,"aqs",NA,2022,"Summer",3877200
"204",2022-07-15 21:00:00,"beaco2n",NA,2022,"Summer",3877200
"205",2022-07-15 22:00:00,"aqs",NA,2022,"Summer",3880800
"206",2022-07-15 22:00:00,"beaco2n",NA,2022,"Summer",3880800
"207",2022-07-15 23:00:00,"aqs",NA,2022,"Summer",3884400
"208",2022-07-15 23:00:00,"beaco2n",NA,2022,"Summer",3884400
"209",2022-07-16,"aqs",NA,2022,"Summer",3888000
"210",2022-07-16,"beaco2n",NA,2022,"Summer",3888000
"211",2022-07-16 01:00:00,"aqs",NA,2022,"Summer",3891600
"212",2022-07-16 01:00:00,"beaco2n",NA,2022,"Summer",3891600
"213",2022-07-16 02:00:00,"aqs",NA,2022,"Summer",3895200
"214",2022-07-16 02:00:00,"beaco2n",NA,2022,"Summer",3895200
"215",2022-07-16 03:00:00,"aqs",NA,2022,"Summer",3898800
"216",2022-07-16 03:00:00,"beaco2n",NA,2022,"Summer",3898800
"217",2022-07-16 04:00:00,"aqs",NA,2022,"Summer",3902400
"218",2022-07-16 04:00:00,"beaco2n",NA,2022,"Summer",3902400
"219",2022-07-16 05:00:00,"aqs",NA,2022,"Summer",3906000
"220",2022-07-16 05:00:00,"beaco2n",NA,2022,"Summer",3906000
"221",2022-07-16 06:00:00,"aqs",NA,2022,"Summer",3909600
"222",2022-07-16 06:00:00,"beaco2n",NA,2022,"Summer",3909600
"223",2022-07-16 07:00:00,"aqs",NA,2022,"Summer",3913200
"224",2022-07-16 07:00:00,"beaco2n",NA,2022,"Summer",3913200
"225",2022-07-16 08:00:00,"aqs",NA,2022,"Summer",3916800
"226",2022-07-16 08:00:00,"beaco2n",NA,2022,"Summer",3916800
"227",2022-07-16 09:00:00,"aqs",NA,2022,"Summer",3920400
"228",2022-07-16 09:00:00,"beaco2n",NA,2022,"Summer",3920400
"229",2022-07-16 10:00:00,"aqs",NA,2022,"Summer",3924000
"230",2022-07-16 10:00:00,"beaco2n",NA,2022,"Summer",3924000
"231",2022-07-16 11:00:00,"aqs",NA,2022,"Summer",3927600
"232",2022-07-16 11:00:00,"beaco2n",NA,2022,"Summer",3927600
"233",2022-07-16 12:00:00,"aqs",NA,2022,"Summer",3931200
"234",2022-07-16 12:00:00,"beaco2n",NA,2022,"Summer",3931200
"235",2022-07-16 13:00:00,"aqs",NA,2022,"Summer",3934800
"236",2022-07-16 13:00:00,"beaco2n",NA,2022,"Summer",3934800
"237",2022-07-16 14:00:00,"aqs",NA,2022,"Summer",3938400
"238",2022-07-16 14:00:00,"beaco2n",NA,2022,"Summer",3938400
"239",2022-07-16 15:00:00,"aqs",NA,2022,"Summer",3942000
"240",2022-07-16 15:00:00,"beaco2n",NA,2022,"Summer",3942000
"241",2022-07-16 16:00:00,"aqs",NA,2022,"Summer",3945600
